"행정구역","2026년01월_총인구수","2026년01월_세대수","2026년01월_세대당 인구","2026년01월_남자 인구수","2026년01월_여자 인구수","2026년01월_남여 비율"
"전국  (1000000000)","51,111,158","24,312,758","          2.10","25,432,356","25,678,802","          0.99"
"서울특별시  (1100000000)","9,299,701","4,504,087","          2.06","4,480,849","4,818,852","          0.93"
"부산광역시  (2600000000)","3,239,711","1,573,947","          2.06","1,574,469","1,665,242","          0.95"
"대구광역시  (2700000000)","2,352,249","1,113,217","          2.11","1,152,176","1,200,073","          0.96"
"인천광역시  (2800000000)","3,053,308","1,401,983","          2.18","1,524,774","1,528,534","          1.00"
"광주광역시  (2900000000)","1,390,658","658,381","          2.11","686,113","704,545","          0.97"
"대전광역시  (3000000000)","1,440,550","697,608","          2.06","717,710","722,840","          0.99"
"울산광역시  (3100000000)","1,091,281","499,530","          2.18","562,579","528,702","          1.06"
"세종특별자치시  (3600000000)","391,477","165,120","          2.37","194,897","196,580","          0.99"
"경기도  (4100000000)","13,736,642","6,128,139","          2.24","6,897,544","6,839,098","          1.01"
"강원특별자치도  (5100000000)","1,507,634","768,827","          1.96","758,094","749,540","          1.01"
"충청북도  (4300000000)","1,596,749","798,233","          2.00","813,869","782,880","          1.04"
"충청남도  (4400000000)","2,136,204","1,062,477","          2.01","1,096,950","1,039,254","          1.06"
"전북특별자치도  (5200000000)","1,723,497","868,328","          1.98","858,643","864,854","          0.99"
"전라남도  (4600000000)","1,778,171","913,289","          1.95","898,237","879,934","          1.02"
"경상북도  (4700000000)","2,503,544","1,295,172","          1.93","1,266,938","1,236,606","          1.02"
"경상남도  (4800000000)","3,205,787","1,549,092","          2.07","1,616,723","1,589,064","          1.02"
"제주특별자치도  (5000000000)","663,995","315,328","          2.11","331,791","332,204","          1.00"
